0,107172
0,70772
100016,106723
100089,106796
102238,109689
12193,12326
12203,12331
12204,12332
14108,14298
14109,14299
14461,14617
14693,14865
14809,14988
15967,16212
21425,21910
22825,35855
229534,186673
229536,186677
229537,186679
229540,186685
229541,186687
229544,186693
229547,186699
229549,186703
229574,186753
229615,186835
229625,186855
229629,186863
229631,186867
229890,187003
23150,23607
23151,23608
23152,23609
23624,24076
24275,24791
24276,24792
252391,200326
26454,27040
26458,27044
26468,27063
26472,27066
26473,27067
26570,27203
286151,237188
286417,237415
286420,237417
286503,237451
286517,237456
32142,32886
32143,32887
35565,36564
35925,36900
37757,38702
40378,41392
501262,359698
501723,360630
501789,361120
501797,365650
502260,369311
502301,369674
510469,383504
514110,400188
514113,400191
514139,400267
514141,400269
514164,400312
514167,400315
514172,400320
514178,400327
514182,400331
514285,400445
514286,400446
514315,400475
514326,400486
514355,400508
514494,400636
514503,400662
514622,400782
514642,400802
514705,400863
514706,400864
514959,401099
515064,401203
515124,401263
51521,52396
515446,401585
515553,401690
516458,402638
516573,402775
516574,402776
516858,403337
516860,403340
516943,403449
517014,403521
517051,403559
517228,403759
519394,400188
519579,406126
52050,52933
52051,52934
523657,410196
523662,410201
523673,410219
523950,410530
524557,411155
524907,411393
524998,411479
525584,412058
527437,414391
528600,415542
53029,53829
55616,56145
55672,56203
56227,56626
66963,68220
66964,68221
67673,68994
67677,68998
67820,69162
67824,69166
68839,70191
68900,70251
69270,70640
69284,70655
69335,70717
69562,70946
79937,82074
80520,82640
82467,84562
98986,105640
