14660,14837
15494,15659
15495,15660
15501,15678
15567,15745
15571,15748
17212,17614
17224,17626
19003,19414
19206,19632
19207,19633
19300,19727
19342,19769
19729,20123
235511,190259
24220,0
24231,24725
260538,207511
260543,207521
261397,207886
261402,207896
261916,208040
261921,208050
32148,32892
32155,32899
32249,32984
32250,32985
34114,34916
34661,0
34665,0
35107,0
35109,0
35111,0
35158,0
35159,0
35161,0
35260,0
35261,0
35262,0
35492,36459
35622,36632
35916,36891
35947,36922
35950,36925
36357,37348
36559,37560
37865,38820
38079,39033
38098,39054
39386,40458
39445,40521
39493,40572
39657,40744
41661,0
50990,51848
512244,389072
516851,0
528600,415542
62931,63854
62933,63856
67315,68617
69149,70510
69352,70732
69401,0
74481,76207
75461,77246
75595,77226
76033,77866
76037,77870
76545,78389
98861,105503
98895,105542
99696,106330
99702,106336
99712,106349
